PT,RT,TT
54530,14355,68900
2798,2864,5700
2913,2745,5700
2772,2773,5600
2662,2716,5400
2854,2419,5300
2687,2762,5500
2687,2991,5700
2729,3084,5900
2779,2852,5700
2715,3225,6000
2907,3035,6000
2806,2704,5600
2698,2731,5500
2973,2848,5900
3207,2564,5800
2773,3175,6000
2748,2652,5400
2731,2872,5700
2648,3075,5800
2731,2876,5700
2764,2854,5700
3873,3083,7000
2698,2709,5500
2905,2660,5600
2698,2672,5400
2705,3036,5800
2838,2754,5600
2764,2638,5500
2738,2865,5700
2794,2785,5600
2744,2671,5500
2711,2898,5700
2703,2792,5500
2835,3004,5900
2790,3207,6000
2761,3008,5800
2711,3956,6700
2745,2907,5700
2772,2560,5400
2798,2927,5800
2755,2854,5700
2781,2958,5800
2764,2760,5600
2648,3153,5900
2948,2611,5600
2739,2814,5600
2697,2831,5600
2747,2861,5700
2680,2739,5500
2745,2782,5600
2695,2886,5600
2686,2929,5700
2737,2683,5500
2743,2826,5600
2893,2635,5600
2777,2744,5600
2719,2785,5600
2702,3171,5900
2769,2822,5600
2944,2774,5800
2810,2908,5800
2785,2567,5400
2685,3236,6000
2728,3103,5900
2805,3063,5900
2738,2863,5700
2755,2901,5700
2647,2801,5500
2822,2660,5500
2764,3035,5800
2763,2741,5600
2759,2794,5600
3901,3129,7100
2784,3263,6100
2741,3064,5900
2741,3039,5800
2791,2826,5700
2816,2801,5700
2665,3043,5800
2766,2576,5400
2792,2750,5600
2709,3373,6100
2668,2448,5200
3059,3609,6700
2767,3170,6000
2809,3469,6300
2783,3305,6100
2783,3035,5900
2809,3088,5900
2746,3073,5900
2771,3996,6800
2721,3020,5800
2704,3177,5900
2705,3095,5800
2771,2907,5700
2738,3204,6000
2646,2754,5400
2671,2880,5600
2738,3113,5900
2697,2759,5500
2647,3386,6100
2663,2983,5700
2729,3388,6200
2756,3079,5900
3073,3367,6500
2738,2885,5700
2776,2854,5700
2859,2964,5900
3051,2965,6100
2767,3166,6000
2708,2983,5700
2716,2943,5700
2691,2986,5700
3133,2795,6000
2671,3259,6000
2770,3452,6300
2720,2903,5700
2728,2830,5600
2920,2991,6000
2752,3093,5900
2902,2726,5700
2744,3088,5900
2852,2621,5500
2885,2759,5700
2743,2985,5800
2768,3169,6000
2699,2978,5700
2981,2891,5900
2774,3023,5800
2715,3024,5800
2707,2974,5700
2790,3326,6200
2757,2970,5800
2690,2804,5500
2761,3325,6100
2686,2960,5700
2653,3153,5900
2828,2757,5600
2753,2900,5700
2753,2875,5700
2819,2946,5800
2758,2776,5600
2710,4338,7100
2649,2899,5600
2708,2608,5400
2774,2765,5600
2649,2749,5400
2674,2966,5700
2675,2691,5400
4099,4497,8600
2707,2740,5500
2674,3769,6500
2890,2923,5900
2706,2982,5700
2815,3041,5900
3064,4178,7300
2822,2813,5700
2871,2681,5600
2836,4778,7700
2835,2797,5700
2752,2839,5600
2710,2914,5700
2735,2757,5500
2751,3289,6100
2651,2989,5700
2734,2831,5600
2801,2748,5600
2751,4485,7300
2769,2977,5800
2755,2968,5800
2781,2613,5400
2954,4283,7300
2764,3001,5800
2739,3127,5900
2730,2668,5400
2731,2868,5600
2746,2685,5500
2746,2793,5600
3071,4663,7800
2729,2822,5600
2738,2905,5700
2662,2672,5400
2771,2584,5400
2778,4855,7700
2754,3140,5900
2779,3324,6200
2813,2710,5600
2788,3197,6000
2737,3336,6100
2838,3049,5900
2803,3473,6300
2718,3275,6000
2746,3267,6100
2759,3649,6500
2701,3001,5800
2726,2633,5400
2809,3328,6200
2751,2849,5600
2784,2574,5400
2792,2794,5600
2793,2866,5700
2743,3042,5800
2985,2629,5700
2785,4423,7300
2617,2987,5700
2701,3015,5800
2779,3253,6100
3060,3982,7100
2785,3256,6100
2675,3298,6000
2701,2874,5600
2725,3115,5900
2842,2951,5800
2731,2786,5600
2691,2802,5500
2816,2912,5800
2666,4399,7100
2741,2716,5500
2750,2868,5700
2800,2870,5700
2819,5315,8200
2994,2840,5900
2727,2919,5700
2760,2847,5700
2793,3065,5900
3385,2818,6300
2734,2811,5600
3009,4680,7700
2759,2908,5700
3112,2781,5900
2751,3327,6100
2734,2805,5600
2784,2972,5800
2792,2766,5600
2809,4936,7800
2775,2738,5600
2699,2948,5700
2733,3326,6100
4183,3080,7300
2694,2982,5700
2757,2628,5400
2774,2908,5700
2674,2817,5500
2799,2909,5800
2995,2660,5700
3198,3172,6400
2974,2494,5500
2792,4306,7100
2791,2742,5600
2807,2768,5600
2716,2877,5600
2717,2823,5600
2800,2916,5800
2733,2801,5600
2732,2669,5500
2665,3056,5800
2748,2758,5600
2782,2643,5500
2723,2823,5600
2732,3060,5800
2757,2894,5700
3090,4700,7800
2662,3160,5900
2887,2804,5700
2811,2695,5600
2741,2647,5400
3032,4552,7600
2723,2762,5500
2757,2855,5700
2711,2956,5700
2740,2911,5700
2723,2996,5800
2839,2788,5700
2764,2775,5600
2697,2633,5400
2764,2837,5700
2848,2964,5900
2698,2856,5600
2789,2807,5600
2731,2857,5600
2672,4408,7100
2768,3072,5900
2875,2831,5800
2817,2937,5800
2842,2755,5600
2684,2937,5700
3076,4474,7600
3758,2807,6600
2755,2667,5500
2997,3951,7000
2723,2942,5700
2704,2847,5600
2771,3286,6100
2763,4887,7700
2788,3018,5900
2746,2946,5700
3074,5238,8400
2722,2858,5600
2721,2741,5500
2713,2826,5600
2855,3236,6100
2772,2926,5700
2799,3108,6000
2856,2864,5800
3098,4201,7300
2798,2862,5700
2722,2462,5200
2722,2871,5600
2726,2735,5500
2697,2827,5600
2813,2495,5400
2829,2890,5800
2704,2774,5500
2771,2984,5800
2779,2610,5400
2754,2915,5700
2763,2985,5800
2630,2795,5500
2771,2661,5500
2763,3176,6000
2738,2633,5400
2738,2594,5400
2696,2593,5300
2738,2977,5800
2638,2910,5600
2738,2881,5700
2721,2898,5700
2837,2868,5800
2795,4796,7600
2720,2738,5500
2803,2847,5700
2721,2698,5500
3069,4769,7900
2795,2539,5400
2752,2673,5500
2744,2806,5600
2763,2593,5400
2787,2752,5600
2712,2904,5700
2728,2780,5600
2704,2909,5700
2902,2702,5700
2803,2819,5700
2653,2853,5600
2745,2831,5600
2737,2917,5700
2737,2659,5400
2829,2674,5600
2779,2954,5800
2970,2830,5800
2837,2607,5500
6595,3046,9700
2779,2897,5700
2910,4940,7900
2692,2899,5600
2718,2775,5500
2851,3023,5900
2742,2917,5700
7680,5696,13400
3381,3019,6400
